두릉도원북촌순두부,0.0,1.0,1,0,1,,맛대가리 없고,,맛
유장원보쌈,1.0,0.0,1,1,0,지금은 맛있지만,,맛,
취영루 논현점,0.6,0.4,10,6,4,"맛은 좋으나 전체적으로, 맛은 좋으나, 맛볼 수 있어서, 정말 맛있어요, 다 맛있게, 요기로는 최고지만, 맛있는 곳  이집을, 짜장이 맛있는, 맛있는 곳","맛까지는 아니지만, 다시 생각나진 않을, 맛집이 아닌것으로  조미료를, 맛집이 아닌것으로, 다시 생각나진 않을, 맛집이 아닌것으로  조미료를, 맛집이 아닌것으로",맛,맛
육갑식당 논현직영점,1.0,0.0,9,9,0,"서비스랑 친절함이 최고였어요, 서비스랑 친절함이, 친절함이 최고였어요, 서비스 많아  추천, 직원분들 센스 대박, 직원분들 센스, 너무 맛있게, 직원분들  최고의고기  센스있는, 친절한 직원분들, 최고의고기  센스있는 서비스, 직원분들  최고의고기, 최고의고기  센스있는, 맛잇어요 친절해요 좋어용, 최고의 지점이에요  맛도, 최고의 지점이에요",,"직원, 서비스, 맛",
해랑,0.75,0.25,8,6,2,"정말 맛있음, 직원분들이 친절히 해체, 직원분들이 친절히, 정말 맛있다, 맛있다  비싼게, 가서 맛있게, 맛있다 야채는 보기, 많이 맛있다, 맛있다 야채는, 맛있다 야채는 보기, 많이 맛있다, 맛있다 야채는","맛집은 아닌듯, 사장이 매우 불친절하고, 다시는 안갑니다","직원, 맛","사장, 맛"
남서울민물장어,0.6666666666666666,0.3333333333333333,3,2,1,"진짜 맛있어요, 맛있옹  찬이 엄청, 장어  맛있옹, 맛있옹  찬이",맛이라 그나마 위안이,맛,맛
토담골 논현점,0.6666666666666666,0.3333333333333333,3,2,1,넘 맛있었어요,맛은 없음,맛,맛
단스시 논현본점,0.5,0.5,8,4,4,"스시는 싱싱하고, 직원분들 너무 친절하심, 진짜 맛있고, 서비스는 좋다 계속, 서비스는 좋다","진짜 맛없어요, 맛없어요      분위기도, 없어보이시는 사장님의","직원, 서비스, 맛","사장, 맛"
임피리얼팰리스 패밀리아,0.0,1.0,1,0,1,,,,
크래버대게나라 강남점,0.96,0.04,25,24,1,"서비스 음식 훌륭하공, 서비스 훌륭하공 기분, 정갈하니 좋아요, 킹크랩 맛있게, 정갈하니 맛있게, 정갈하니 맛있게, 많아야 맛있는, 맛있는 듯, 서비스가 너무 좋아서, 많구용 맛있습니다, 서비스 정말 좋습니다, 서비스 만족 대게랑, 꽤 맛있었어요, 분위기 예쁘네요  대게코스, 맛있궁  대게는 대게대로, 맛있어서 잘 먹고, 랍스타대로 맛있궁, 대게대로 맛있어서, 맛있궁  대게는, 맛있어서 잘, 맛있공 캐쉬백까지 기분, 맛있공 캐쉬백까지, 직원분의 친절 인사에, 직원분의 친절, 분위기 완전 좋아, 맛있어 지금 할인도, 완전 맛있어, 더 맛있게, 맛있어 지금, 분위기가 고급스럽고, 고급  분위기도, 너무 맛있게, 맛있는 음식앞에 장사, 데이트  맛있는, 맛있는 음식앞에, 맛있기로야  쵝오, 직원분의 친절한 응대, 직원분의 친절한, 나오네요  맛있게, 분위기가 좋아서 손님, 분위기가 좋아서","음식앞에 장사 없네요, 맛이 전혀 없고","직원, 서비스, 분위기, 맛","음식, 맛"
아리양,0.9166666666666666,0.08333333333333333,12,11,1,"다 신선하고, 맛있어보여서 꼭 먹어봐야겠어요, 맛있어요  양대창도, 맛있어보여서 꼭, 최고급 특양과 대창을, 가서 최고급, 최고급 특양과, 좋았어요  맛도, 맛있어요 또갈거임, 최고의 맛집, 최고의 맛집, 양밥 최고에요, 맛있는 묵사발 제공되고, 맛있는 묵사발, 맛있어서 감사합니다, 맛있는 묵사발 제공되고, 맛있는 묵사발, 맛있어서 감사합니다",,맛,
명동관,0.9375,0.0625,32,30,2,"맛있네요  담엔 가족들, 정말 맛있네요, 맛있네요  담엔, 괜찮네요    맛있어요, 기분이에요  맛있게, 맛있네요 다음엔 부모님, 진짜 맛있네요, 맛있네요 다음엔, 맛있어요 정성 들여, 갈비탕 맛있어요, 맛있어요 정성, 음식 맛있어요, 미숫가루는 맛있어요, 엄청 맛있음, 통통하니 맛있음, 너무 부드럽고, 쫄깃 맛있음, 맛있어요 국물이랑 같이, 맛있어요 국물이랑, 너무 맛있게, 진짜 맛있게, 진짜 맛있음, 최고임  밥 슥슥, 꼬막무침이 최고임, 최고임  밥, 정갈해서 맛있네요, 정갈해서 맛있네요, 맛있어서 이틀연속 점심으로, 너무 맛있어서, 맛있어서 이틀연속, 너무 맛있게먹었음, 신선함  육수 끓으니살아있는, 정말 신선함, 신선함  육수, 정말 맛있네요, 맛있네요  비벼먹는게, 너무 부드럽고, 아주 맛좋습니다, 맛좋습니다  다음, 배불리 맛있게, 정말 맛있게, 너무 맛있었구요, 맛있었구요  찬절하고, 전복 맛있게, 가서 신선하고, 정말 맛있게, 맛이 있었고, 맛있었어요  자주 애용하고, 정말 맛있었어요, 맛있었어요  자주, 맛있었어요  다음, 전통있는 맛집답게, 정말 맛있네요, 최고급이네요 디저트로 미숫가루슬러쉬도, 고기 최고급이네요, 최고급이네요 디저트로, 만두전골 맛있어요",없이 부드럽고,맛,
빕스 도곡역점,0.6666666666666666,0.3333333333333333,3,2,1,"직원들은 친절해요, 맛있어요 할인 받고, 진짜 맛있어요, 맛있어요 할인",레알 맛없음,"직원, 맛",맛
마산아구찜탕,1.0,0.0,1,1,0,역시 맛있었습니다,,맛,
아웃백스테이크하우스 도곡점,0.7142857142857143,0.2857142857142857,7,5,2,"직원분들 너무 친절하세요, 직원분들 너무 친절하시고, 다 맛있어요, 직원분들 모두 친절합니다, 맛있어요  스테이크 굽기에, 맛있어요  스테이크","음식은 아니지만, 직원들 교육을 안하는","직원, 맛","음식, 직원"
