토담골 논현점,2,2,0,넘 맛있었어요,
단스시 논현본점,2,2,0,"직원분들 너무 친절하심, 진짜 맛있고",
단스시 논현본점,1,1,0,"서비스는 좋다 계속, 서비스는 좋다",
임피리얼팰리스 패밀리아,1,0,1,,
크래버대게나라 강남점,1,1,0,킹크랩 맛있게,
크래버대게나라 강남점,1,1,0,"정갈하니 맛있게, 정갈하니 맛있게",
크래버대게나라 강남점,1,1,0,"많아야 맛있는, 맛있는 듯",
크래버대게나라 강남점,2,2,0,"서비스가 너무 좋아서, 많구용 맛있습니다",
크래버대게나라 강남점,1,1,0,서비스 정말 좋습니다,
크래버대게나라 강남점,2,2,0,"서비스 만족 대게랑, 꽤 맛있었어요",
크래버대게나라 강남점,1,1,0,분위기 예쁘네요  대게코스,
크래버대게나라 강남점,1,1,0,"맛있궁  대게는 대게대로, 맛있어서 잘 먹고, 랍스타대로 맛있궁, 대게대로 맛있어서, 맛있궁  대게는, 맛있어서 잘",
크래버대게나라 강남점,1,1,0,"맛있공 캐쉬백까지 기분, 맛있공 캐쉬백까지",
크래버대게나라 강남점,1,1,0,"직원분의 친절 인사에, 직원분의 친절",
크래버대게나라 강남점,2,2,0,"분위기 완전 좋아, 맛있어 지금 할인도, 완전 맛있어, 더 맛있게, 맛있어 지금",
크래버대게나라 강남점,1,1,0,분위기가 고급스럽고,
크래버대게나라 강남점,1,1,0,고급  분위기도,
크래버대게나라 강남점,1,1,0,너무 맛있게,
크래버대게나라 강남점,1,1,0,"맛있는 음식앞에 장사, 데이트  맛있는, 맛있는 음식앞에",음식앞에 장사 없네요
크래버대게나라 강남점,1,1,0,맛있기로야  쵝오,
크래버대게나라 강남점,2,2,0,"직원분의 친절한 응대, 직원분의 친절한, 나오네요  맛있게",
크래버대게나라 강남점,1,1,0,"분위기가 좋아서 손님, 분위기가 좋아서",
크래버대게나라 강남점,1,0,1,,맛이 전혀 없고
아리양,1,1,0,좋았어요  맛도,
아리양,1,1,0,맛있어요 또갈거임,
아리양,1,1,0,"최고의 맛집, 최고의 맛집",
아리양,1,1,0,양밥 최고에요,
